Vd,Vg,Id,
0,-1.8,0.000000005,-1.09E-008
0,-1.7,4.29E-009,-0.000000009
0,-1.6,3.73E-009,-8.33E-009
0,-1.5,3.14E-009,-0.000000007
0,-1.4,2.5E-009,-5.33E-009
0,-1.3,1.93E-009,-4.44E-009
0,-1.2,6.23E-010,-3.45E-009
0,-1.1,-9.71E-008,-2.67E-009
0,-1,2.38E-009,-0.000000002
0,-0.9,3.21E-008,-1.46E-009
0,-0.8,0.000000569,-0.000000001
0,-0.7,0.00000156,-7.08E-010
0,-0.6,-0.0005968,-4.51E-010
0,-0.5,-0.0001906,-1.07E-010
0,-0.4,0.0000348,-6.85E-011
0,-0.3,-0.0000214,-7.87E-011
0,-0.2,0.00000437,-2.41E-011
0,-0.1,0.0000872,9.74E-011
0,0,0.0000238,-1.34E-012
0.1,-1.8,0.000000006,-1.26E-008
0.1,-1.7,5.14E-009,-1.01E-008
0.1,-1.6,4.37E-009,-9.19E-009
0.1,-1.5,3.66E-009,-7.66E-009
0.1,-1.4,3.1E-009,-5.86E-009
0.1,-1.3,2.51E-009,-4.81E-009
0.1,-1.2,2.28E-009,-3.64E-009
0.1,-1.1,3.66E-009,-0.000000003
0.1,-1,0.000000133,-2.3E-009
0.1,-0.9,0.0000023,-1.67E-009
0.1,-0.8,0.0000327,-1.22E-009
0.1,-0.7,0.0003825,-7.07E-010
0.1,-0.6,0.0007131,-4.52E-010
0.1,-0.5,0.00287,-3.25E-010
0.1,-0.4,0.005254,-1.28E-010
0.1,-0.3,0.007109,-1.81E-010
0.1,-0.2,0.008563,3.86E-011
0.1,-0.1,0.009587,1.1E-012
0.1,0,0.010285,-3.37E-011
0.2,-1.8,7.05E-009,-1.32E-008
0.2,-1.7,5.87E-009,-1.08E-008
0.2,-1.6,0.000000005,-1.03E-008
0.2,-1.5,4.25E-009,-8.19E-009
0.2,-1.4,3.52E-009,-6.24E-009
0.2,-1.3,2.9E-009,-5.26E-009
0.2,-1.2,2.69E-009,-4.11E-009
0.2,-1.1,1.08E-008,-3.45E-009
0.2,-1,0.000000173,-2.54E-009
0.2,-0.9,0.00000322,-1.9E-009
0.2,-0.8,0.0000459,-1.36E-009
0.2,-0.7,0.0003189,-9.16E-010
0.2,-0.6,0.001786,-6.61E-010
0.2,-0.5,0.004601,-4.56E-010
0.2,-0.4,0.008272,-1.27E-010
0.2,-0.3,0.01207,-1.51E-010
0.2,-0.2,0.01528,1.88E-011
0.2,-0.1,0.01765,3.05E-011
0.2,0,0.01932,-2.42E-011
0.3,-1.8,8.14E-009,-1.44E-008
0.3,-1.7,6.63E-009,-1.16E-008
0.3,-1.6,5.8E-009,-0.00000001
0.3,-1.5,4.86E-009,-8.74E-009
0.3,-1.4,0.000000004,-7.32E-009
0.3,-1.3,3.48E-009,-5.76E-009
0.3,-1.2,3.27E-009,-4.69E-009
0.3,-1.1,1.36E-008,-3.72E-009
0.3,-1,0.000000237,-0.000000003
0.3,-0.9,0.00000438,-2.11E-009
0.3,-0.8,0.000061,-1.74E-009
0.3,-0.7,0.0004929,-1.21E-009
0.3,-0.6,0.002164,-8.6E-010
0.3,-0.5,0.005532,-4.61E-010
0.3,-0.4,0.010174,-2.18E-010
0.3,-0.3,0.0151,-1.06E-010
0.3,-0.2,0.01978,-4.4E-011
0.3,-0.1,0.02368,9.74E-011
0.3,0,0.02658,-8.72E-011
0.4,-1.8,8.79E-009,-1.54E-008
0.4,-1.7,8.06E-009,-1.29E-008
0.4,-1.6,6.56E-009,-1.07E-008
0.4,-1.5,5.51E-009,-9.24E-009
0.4,-1.4,4.72E-009,-0.000000008
0.4,-1.3,3.93E-009,-6.58E-009
0.4,-1.2,3.91E-009,-5.17E-009
0.4,-1.1,1.94E-008,-4.24E-009
0.4,-1,0.00000031,-3.22E-009
0.4,-0.9,0.00000567,-2.56E-009
0.4,-0.8,0.0000761,-1.8E-009
0.4,-0.7,0.0006376,-1.39E-009
0.4,-0.6,0.002484,-0.000000001
0.4,-0.5,0.006151,-5.6E-010
0.4,-0.4,0.011172,-3.23E-010
0.4,-0.3,0.01697,-2.77E-010
0.4,-0.2,0.02267,7.65E-011
0.4,-0.1,0.02776,-1.09E-010
0.4,0,0.03194,9.17E-011
0.5,-1.8,1.01E-008,-1.68E-008
0.5,-1.7,9.16E-009,-1.42E-008
0.5,-1.6,7.37E-009,-1.19E-008
0.5,-1.5,6.24E-009,-1.01E-008
0.5,-1.4,5.36E-009,-8.68E-009
